	language	image_url	caption_reference_description	page_title	section_title
13	en	https://upload.wikimedia.org/wikipedia/commons/1/1a/Whriling_dervishes%2C_Rumi_Fest_2007.jpg	Whirling Dervishes, at Rumi Fest 2007	Sufism	Sufi whirling
14	en	https://upload.wikimedia.org/wikipedia/commons/f/fe/The_Ulster_Volunteer_Force%2C_Belfast%2C_Northern_Ireland%2C_1914_Q81771.jpg	Members of the Ulster Volunteer Force march through Belfast, 1914	Irish issue in British politics	Passage of Home Rule, 1910–14
15	en	https://upload.wikimedia.org/wikipedia/commons/8/86/Sea_Point_ANC_office_Annelize_van_Wyk_MP.jpg	African National Congress constituency office in Sea Point, Cape Town, for Annelize van Wyk MP.	History of the African National Congress	Government of South Africa
16	en	https://upload.wikimedia.org/wikipedia/commons/4/46/Gaborone_Panorama.jpg	View of Gaborone Night Skyline	Gaborone	Cityscape
17	en	https://upload.wikimedia.org/wikipedia/commons/c/c9/Lovech_Province.jpg	Building of Lovech Province administration	Lovech Province	Population
18	en	https://upload.wikimedia.org/wikipedia/commons/6/65/Bee_on_cornflower_in_Aspen_%2891223%29.jpg	A honey bee on a cornflower	Centaurea cyanus	Distribution
19	en	https://upload.wikimedia.org/wikipedia/commons/2/26/General_D_the_god-father_of_Portuguese_hip_hop_Lisbon_1993_photographed_by_Ithaka_Darin_Pappas.jpg	General D, Portugal 1993	General D	Early career
20	en	https://upload.wikimedia.org/wikipedia/commons/c/c1/Samavasarana.jpg	Depiction of Samavasarana	Jain art	Samavasarana
21	en	https://upload.wikimedia.org/wikipedia/commons/1/1d/%D0%A5%D1%80%D0%B0%D0%BC_%D0%A1%D0%B2%D1%8F%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8F_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D1%8F_%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D1%86%D0%B0_%28%D0%92%D0%B0%D0%BB%D1%83%D0%B9%D0%BA%D0%B8%29.jpg	Church of St. Nicholas	Valuyki, Belgorod Oblast	References
22	en	https://upload.wikimedia.org/wikipedia/commons/8/8a/Alexander_Stephens.jpg	Alexander Stephens, namesake of Stephens County	Stephens County, Georgia	History
23	en	https://upload.wikimedia.org/wikipedia/commons/0/0f/Museum_Reina_Sof%C3%ADa_Madrid_Spain_Espana_this_is_a_front_photo_close_up_at_the_Queen_Sofia_Museum_in_2011_month_of_June.jpg	The Museo Nacional Centro de Arte Reina Sofía (MNCARS) is Spain's national museum of 20th-century art, located in Madrid. The photo shows the old building with the addition of one of the contemporary glass towers to the exterior by Ian Ritchie Architects with the closeup of the modern art tower.	Modernism	Early 20th century to 1930
24	en	https://upload.wikimedia.org/wikipedia/commons/7/76/PikiWiki_Israel_286_Israel_Defense_Forces_%D7%94%D7%9E%D7%A9%D7%95%D7%A8%D7%99%D7%99%D7%9F_%D7%9E%D7%A9%D7%99%D7%99%D7%A8%D7%AA_%D7%99%D7%97%D7%99%D7%A2%D7%9D.jpg	Members of convoy before departure	Yehiam convoy	Convoy ambush
25	en	https://upload.wikimedia.org/wikipedia/commons/c/c9/MTNQhubeka_car.jpg	The team car	2014 MTN–Qhubeka season	Season victories
26	en	https://upload.wikimedia.org/wikipedia/commons/f/fa/Bernard_O%27Reilly_headstone%2C_St_Johns_Catholic_Church%2C_Kerry.JPG	Bernard O'Reilly headstone, St Johns Catholic Church, Kerry	Kerry, Queensland	Notable people
27	en	https://upload.wikimedia.org/wikipedia/commons/5/5c/2008-1206-USC-UCLA-009-RB-redblue.JPG	UCLA–USC rivalry football game at the Rose Bowl; the 2008 edition marked a return to the tradition of both teams wearing color jerseys.	Pac-12 Conference	Football
28	en	https://upload.wikimedia.org/wikipedia/commons/e/e2/James_Garfield2_1890_Issue-6c.jpg	Issue of 1890	Presidents of the United States on U.S. postage stamps	James Garfield
29	en	http://upload.wikimedia.org/wikipedia/commons/5/58/Sumo_May09_Yamamotoyama.jpg	Yamamotoyama in May 2009	Yamamotoyama Ryūta	Career
30	en	https://upload.wikimedia.org/wikipedia/commons/a/a7/Eagle_Main_Entrance.jpg	Eagle Investment Systems' Wellesley office, renovated in 2018.	Eagle Investment Systems	Strategic Alliances
31	en	https://upload.wikimedia.org/wikipedia/commons/1/17/US_Capitol_Police_Cruiser_Ford_Crown_Vic_fr.jpg	Capitol Police Crown Victoria Police Interceptor automobile, 2012	United States Capitol Police	Overview
32	en	https://upload.wikimedia.org/wikipedia/commons/d/d9/Credit_card_terminal.jpg	A typical fixed install card terminal from 2006	Payment terminal	History
33	en	https://upload.wikimedia.org/wikipedia/commons/d/d8/Obvodn%C3%AD_soud_pro_Prahu_4.jpg	Prague Municipal Court, which was ruling on appeal against the bail and which is the first instance court for Blythe's case	Randy Blythe manslaughter case	Day 1 of the trial
34	en	https://upload.wikimedia.org/wikipedia/commons/b/bf/WHgrandstair%2746.jpg	Charles Follen McKim's Grand Staircase looking north, northwest seen from the Cross Hall photographed during the administration of Harry Truman before reconstruction.	Grand Staircase (White House)	McKim's new Grand Staircase
35	en	https://upload.wikimedia.org/wikipedia/commons/a/a8/Opened_scallop_shell.jpg	"A live opened scallop showing the internal anatomy: The pale orange circular part is the adductor muscle; the darker orange curved part is the ""coral"", a culinary term for the ovary or roe."	Scallop	Muscular system
36	en	https://upload.wikimedia.org/wikipedia/commons/9/9c/John_T._Doran.jpg	John T. Doran	Cram and Ferguson Architects	History
37	en	https://upload.wikimedia.org/wikipedia/commons/2/29/Mdina_-_Triq_Villegaignon_20100226-3.JPG	A street in Mdina, Malta named after Villegaignon.	Nicolas Durand de Villegaignon	Legacy
38	en	http://upload.wikimedia.org/wikipedia/commons/0/04/PET2001.jpg	Commodore PET 2001 (1977)	Commodore International	"""Computers for the masses, not the classes"""
39	en	https://upload.wikimedia.org/wikipedia/commons/f/f9/Coat_of_Arms_of_D._Diana_%C3%81lvares_Pereira_de_Mello%2C_8th_Duchess_do_Cadaval_and_Duchess_of_Anjou.png	Contemporary arms of Princess Diana of Cadaval, Duchess of Cadaval & Anjou.	Portuguese heraldry	Contemporary authorities
40	en	https://upload.wikimedia.org/wikipedia/commons/4/45/StPaulsTroy.jpg	St. Paul's Episcopal Church	Central Troy Historic District	National Register of Historic Places
41	en	https://upload.wikimedia.org/wikipedia/commons/1/13/Carved_ivory_upper_and_lower_denture_Wellcome_L0003910.jpg	Carved ivory upper and lower dentures (18th century)	Denturist	Dentures throughout the ages
42	en	https://upload.wikimedia.org/wikipedia/commons/0/03/Mist_spraying-smple_type1.jpg	Mist spraying system with water pump beneath	Evaporative cooler	Misting systems
43	en	https://upload.wikimedia.org/wikipedia/commons/1/12/GRAMMY_Nomination_2005_Song_of_the_Year_%22Todo_el_A%C3%B1o%22_Obie_Bermudez.jpg	"2005 Latin GRAMMY Nomination for Song of the Year ""Todo el Año"" Obie Bermudez"	Elsten Torres	Music career
44	en	https://upload.wikimedia.org/wikipedia/commons/d/d0/Boone_abduction.jpg	The abduction of Jemima Boone by Shawnee in 1776	American Indian Wars	American Revolutionary War 1775–1783
45	en	https://upload.wikimedia.org/wikipedia/commons/8/87/Batu_Arang_surface_coal_mine_in_1949.jpg	Batu Arang surface coal mine in 1949.	Batu Arang	World War II and decline
46	en	http://upload.wikimedia.org/wikipedia/commons/f/fe/Sikyatkibowlwithdragonfly.png	Dragonfly symbol on a Hopi bowl from Sikyátki, Arizona	Insects in art	Dragonflies
47	en	https://upload.wikimedia.org/wikipedia/commons/0/00/Hemorrhagic_infarction_of_testis.jpg	Micrograph of testis showing hemorrhagic infarction.H&E stain.	Infarction	By histopathology
48	en	https://upload.wikimedia.org/wikipedia/commons/d/d9/Guiafortress.jpg	November, 2017	Macau Liaison Office	Headquarters building controversy
49	en	http://upload.wikimedia.org/wikipedia/commons/e/eb/%E4%B9%9D%E6%B1%9F%E7%90%B5%E7%90%B6%E4%BA%AD%E7%99%BD%E5%B1%85%E6%98%93%E7%9F%B3%E5%83%8F.JPG	"Bai Juyi statue in front of Pipa Pavilion on the Xunyang River at Jiujiang, where he wrote his ""The Song of the Pipa Player"" poem."	Bai Juyi	Famous poems
50	en	https://upload.wikimedia.org/wikipedia/commons/4/41/Crayfish_worm.jpg	Cambarincola heterognatha, a species of crayfish worm in the eastern United States.	Cleaning symbiosis	Biological range
51	en	https://upload.wikimedia.org/wikipedia/commons/f/fa/Sweetheart_Abbey_entrance.jpg	Sweetheart Abbey entrance through the much altered archway in the abbey precincts which extended to 30 acres.	Sweetheart Abbey	Current status
52	en	https://upload.wikimedia.org/wikipedia/commons/0/0b/Eastern_Brown_Snake_eating_an_Eastern_Blue_tongue._%288235985873%29.jpg	Constricting its prey, a blue-tongue lizard	Eastern brown snake	Feeding
53	en	https://upload.wikimedia.org/wikipedia/commons/2/24/Triangle_ABC_with_Sides_a_b_c_2.png	Triangle with sides a,b,c and respectively opposite angles A,B,C	Trigonometry	Identities
54	en	https://upload.wikimedia.org/wikipedia/commons/7/73/Six_Nations_Triple_Crown.jpg	Triple Crown Trophies	Triple Crown (rugby union)	Trophy history
55	en	https://upload.wikimedia.org/wikipedia/commons/d/dc/Royal_Malaysian_Navy_Super_Lynx_helicopter_%28cropped%29.jpg	Super Lynx of the Royal Malaysian Navy	Westland Lynx	Export variants
56	en	https://upload.wikimedia.org/wikipedia/commons/f/f3/Birthplace_of_OYAMA_Iwao.JPG	Birthplace in Kagoshima	Ōyama Iwao	Biography
57	en	https://upload.wikimedia.org/wikipedia/commons/8/81/Haile_Selassie_in_full_dress.jpg	Haile Selassie I	1975	August
58	en	https://upload.wikimedia.org/wikipedia/commons/0/02/Porforio_Diaz.jpg	Porfirio Díaz and his second wife Carmen Romero Rubio photographed with others celebrating the centennial of Mexican independence in 1910	Porfiriato	1910 Centennial of Independence
59	en	https://upload.wikimedia.org/wikipedia/commons/c/c9/Squirrel_Posing_at_Logan_Pass.jpg	Squirrel posing at Logan Pass	Columbian ground squirrel	Ecology
60	en	https://upload.wikimedia.org/wikipedia/commons/a/a2/PanoramaPlacaBolivarBogota.jpg	View of Bolívar Square, Bogotá	Bogotá	Panoramas
61	en	https://upload.wikimedia.org/wikipedia/commons/3/30/Paleis_Het_Loo_-_Mary_Stuart_bedroom_20120912-03.JPG	Queen Mary's bedroom	Het Loo Palace	Architecture
62	en	http://upload.wikimedia.org/wikipedia/commons/3/3e/Deep_Impact_HRI.jpeg	Deep Impact impacted a comet nucleus	Discovery Program	Discovery 7 and 8
63	en	https://upload.wikimedia.org/wikipedia/commons/2/29/John_Port_School_in_Etwall_-_a_walnut_tree.jpg	A green site	John Port School	School site
64	en	https://upload.wikimedia.org/wikipedia/commons/9/94/Kazi_Rhino_at_Kaziranga_National_Park.jpg	A rhinoceros grazing at Kaziranga National Park	Fauna of Kaziranga National Park	Fauna
65	en	https://upload.wikimedia.org/wikipedia/commons/b/bf/Great_lakes_air_flight_5925_diagram.png	Diagram of aircraft positions involved in the accident.	United Express Flight 5925	Cause
66	en	https://upload.wikimedia.org/wikipedia/commons/8/83/Photo_2008_0905_Rushbrook_TV.JPG	Statue of James Braidwood, who died during the fire.	1861 Tooley Street fire	Blaze
67	en	https://upload.wikimedia.org/wikipedia/commons/1/1e/Sagtikos_State_Parkway_at_S1W.jpg	The Sunken Meadow State Parkway's Exit SM1W signage on the Sagtikos State Parkway	Sunken Meadow State Parkway	Route description
68	en	https://upload.wikimedia.org/wikipedia/commons/a/af/Adelophthalmus_imhofi.jpg	Fossil of A. imhofi, formerly considered to be the type species of the genus Lepidoderma, exhibited at the Senckenberg Museum of Frankfurt.	Adelophthalmus	Earliest discoveries
69	en	https://upload.wikimedia.org/wikipedia/commons/4/43/Herman_Cornejo_Maria_Kochetkova_MIRA_FB.jpg	Maria Kochetkova and Herman Cornejo in Le Corsaire	Maria Kochetkova	Career
70	en	https://upload.wikimedia.org/wikipedia/commons/f/f9/Declaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg	June 28: The United States Declaration of Independence is presented to the Congress	1776 in the United States	June
71	en	http://upload.wikimedia.org/wikipedia/commons/f/fe/Gonczy_schilera_MWPR_katowice_2008_003.jpg	Schiller Hound head	Schillerstövare	Appearance
72	en	http://upload.wikimedia.org/wikipedia/commons/f/f9/New_South_Wales_Government_Locomotive_No._1.jpg	Locomotive No. 1 at the Powerhouse Museum	Rail transport in New South Wales	History
73	en	https://upload.wikimedia.org/wikipedia/commons/4/42/Igreja_de_Brav%C3%A3es.jpg	The oblique lateral facade (opposite the Estrada Nacional) with the bell tower to the rear	Church of São Salvador (Bravães)	History
74	en	http://upload.wikimedia.org/wikipedia/commons/1/18/Part_of_the_day_2_opening_session%2C_Paro_Tsechu.jpg	Second day opening session, Paro tsechu	Public holidays in Bhutan	Tsechus
75	en	https://upload.wikimedia.org/wikipedia/commons/1/11/Mk47aerialdepthcharges.jpg	US Navy sailors attach Mk 47 aerial depth charges to the underside of a K-class blimp at NAS Weeksville, North Carolina in 1944	K-class blimp	Surviving aircraft
76	en	http://upload.wikimedia.org/wikipedia/commons/9/91/Dinner_plate_-_Parliament_Buildings_and_Ottawa_River_-_Martha_Logan.jpg	Parliament Buildings and Ottawa River by Martha Logan from the 1897 Canadian Historical Dinner Service	China painting	Victorian era amateurs
77	en	https://upload.wikimedia.org/wikipedia/commons/a/ae/Central_Station_milk_bar%2C_1946_%284009463159%29.jpg	Central Railway Station, Sydney milk bar, 1946	Milk bar	History
78	en	https://upload.wikimedia.org/wikipedia/commons/f/f0/Wagon_der_luas_in_dublin.jpg	Luas tram in Dublin	Transdev	Ireland
79	en	https://upload.wikimedia.org/wikipedia/commons/d/d3/Willsboro_Congregational_Church_Nov_10.jpg	Willsboro Congregational Church	Willsboro, New York	Demographics
80	en	https://upload.wikimedia.org/wikipedia/commons/d/dd/Ian_McKellen.jpg	Some critics felt that Richard E Grant and Ian McKellen (pictured) had been underused as villains.	The Snowmen	Critical reception
81	en	https://upload.wikimedia.org/wikipedia/commons/0/07/Folio_164r_-_The_Canaanite_Woman.jpg	Jesus exorcising the Canaanite Woman's daughter from Très Riches Heures du Duc de Berry, 15th century.	Exorcism of the Syrophoenician woman's daughter	The Passage
82	en	https://upload.wikimedia.org/wikipedia/commons/9/94/MelBrooksApr10.jpg	Mel Brooks	1926	June
83	en	https://upload.wikimedia.org/wikipedia/commons/c/cf/WashingtonFIwar.jpg	George Washington during the French and Indian War	Colonial history of the United States	French and Indian War
84	en	http://upload.wikimedia.org/wikipedia/commons/d/d2/Luftaufnahmen_Nordseekueste_2012-05-by-RaBoe-119.jpg	Aerial view of Sylt	Frisian Islands	German Wadden Islands
85	en	https://upload.wikimedia.org/wikipedia/commons/2/26/Exterieur_-_%27s-Gravenhage_-_20087818_-_RCE.jpg	Entrance area of the Royal Academy of Art, Prinsessegracht 3-4, 1930.	Royal Academy of Art, The Hague	History
86	en	https://upload.wikimedia.org/wikipedia/commons/7/79/Deerfoot_Trail_Stoney_Trail_NE_2018.jpg	Looking west on Stoney Trail NE at its interchange with Deerfoot Trail in north Calgary	Alberta Highway 2	Early years
87	en	http://upload.wikimedia.org/wikipedia/commons/9/93/Pachira_aquatica_%28fruit%29_edit1.jpg	Pachira aquatica capsule.	Pachira aquatica	Cultivation
88	en	https://upload.wikimedia.org/wikipedia/commons/c/c2/Mount_Chocorua_%28JJH%29.jpg	Mount Chocorua	List of New Hampshire historical markers (26–50)	31. The Chocorua Legend
89	en	https://upload.wikimedia.org/wikipedia/commons/1/11/Central_railway_station_brisbane_1910.jpg	Looking east to the main station entrance across Ann & Edward Streets from the verandah of the People's Palace in 1911	Central railway station, Brisbane	History
90	en	https://upload.wikimedia.org/wikipedia/commons/5/5f/2010_OUA_Champions.jpg	Varsity Blues Men's Soccer Team - 2010 OUA Champions	Toronto Varsity Blues men's soccer	Seasons
91	en	https://upload.wikimedia.org/wikipedia/commons/d/d2/Take_off_queue%2C_Heathrow%2C_10_Sept._2010_-_Flickr_-_PhillipC.jpg	British Airways aircraft queuing for take-off	Heathrow Airport	Runway and terminal expansion
92	en	https://upload.wikimedia.org/wikipedia/commons/f/fc/Phillips_Church%2C_Exeter%2C_NH.jpg	Phillips Church in 1911	Phillips Exeter Academy	Other facilities
93	en	https://upload.wikimedia.org/wikipedia/commons/f/f7/Annibale_Carracci_Assumption_of_the_Virgin.jpg	Assumption of the Virgin (1590) by Annibale Carracci	1590 in art	Works
94	en	http://upload.wikimedia.org/wikipedia/commons/4/46/Cabildo2.jpg	Cabildo Street, Intramuros, Manila, 1890s	Spanish Filipino	Spanish East Indies
95	en	http://upload.wikimedia.org/wikipedia/commons/d/db/Kim_Gu_in_1949.jpg	Kim Gu	Provisional Government of the Republic of Korea	Transition of power
96	en	http://upload.wikimedia.org/wikipedia/commons/0/09/Nepenthes_pitcher_morphology_upper.svg	Basic structure of an upper pitcher	Nepenthes	Description
97	en	https://upload.wikimedia.org/wikipedia/commons/7/7b/-First_Canadian_Place_under_construction-3.jpg	First Canadian Place under construction in 1975	First Canadian Place	History and architecture
98	en	https://upload.wikimedia.org/wikipedia/commons/6/6e/00065_sand_collage.jpg	Global collage of sand samples. There is one square centimeter of sand on every sample photo. Sand samples row by row from left to right: 1. Glass sand from Kauai, Hawaii 2. Dune sand from the Gobi Desert 3. Quartz sand with green glauconite from Estonia 4. Volcanic sand with reddish weathered basalt from Maui, Hawaii 5. Biogenic coral sand from Molokai, Hawaii 6. Coral pink sand dunes from Utah 7. Volcanic glass sand from California 8. Garnet sand from Emerald Creek, Idaho 9. Olivine sand from Papakolea, Hawaii. [1]	Sedimentary rock	Mineralogy
99	en	https://upload.wikimedia.org/wikipedia/commons/5/5d/KochCroupade.jpeg	The Croupade from the Art of Riding in the Picture (ger: Die Reitkunst im Bilde)	Ludwig Koch (painter)	Life
100	en	https://upload.wikimedia.org/wikipedia/commons/1/19/ElectoralCollege2000.svg	Al Gore won the states in blue, George W. Bush won the states in red	Al Gore 2000 presidential campaign	Florida recount and Bush v. Gore
101	en	https://upload.wikimedia.org/wikipedia/commons/1/15/Ute_iowa.jpg	Downtown Ute	Ute, Iowa	History
102	en	https://upload.wikimedia.org/wikipedia/commons/2/25/Governor_John_Hickenlooper_2015.jpg	Hickenlooper in 2015	John Hickenlooper	Gun control
103	en	http://upload.wikimedia.org/wikipedia/commons/e/ed/Carl_Nielsen_in_1901.jpg	Carl Nielsen in 1901	Maskarade	Background and performance history
104	en	https://upload.wikimedia.org/wikipedia/commons/9/96/Muskellunge_USFWS.jpg	Illustration of a Muskellunge	Muskellunge	Behavior
105	en	https://upload.wikimedia.org/wikipedia/commons/f/f6/Gara_cluj_europeana.JPG	Early view of the station.	Cluj-Napoca railway station	Distance from other railway stations
106	en	https://upload.wikimedia.org/wikipedia/commons/b/b0/ScofieldMineCoffins.jpg	Coffins waiting for transport to disaster site	Scofield, Utah	Discovery of coal and coming of the railroad
107	en	https://upload.wikimedia.org/wikipedia/commons/5/5e/Crematorium_at_Hedon_Road_Cemetery%2C_Hull_-_geograph.org.uk_-_206022.jpg	Hedon Road Cemetery crematorium (2006)	Southcoates	1860–1945
108	en	https://upload.wikimedia.org/wikipedia/commons/a/ae/Lepido_root_top.jpg	Fossil of the Carboniferous-Permian tree-like club moss relative rhizome Stigmaria	List of the prehistoric life of Nevada	Selected Paleozoic taxa of Nevada
109	en	https://upload.wikimedia.org/wikipedia/commons/c/c0/Karcher-p1020713.jpg	Nicolas Sarkozy suggested cleaning out the banlieues with a Kärcher (Kärcher is a well-known brand of high pressure water cleaners)	Reactions to the 2005 French riots	Political
110	en	https://upload.wikimedia.org/wikipedia/commons/d/d2/Carta_itineraria_europae_1520_waldseemueller_watermarked.jpg	Carta itineraria europae 1520	Martin Waldseemüller	Other works
111	en	https://upload.wikimedia.org/wikipedia/commons/3/3f/Surjit_Patar.jpg	Dr. Surjit Patar, a prominent Punjabi writer, poet and lecturer at Guru Nanak Dev University	Punjabi literature	Eastern Punjab (India)
112	en	http://upload.wikimedia.org/wikipedia/commons/6/61/Chesham_Mosque.jpg	Chesham Mosque	Chesham	Religion
113	en	https://upload.wikimedia.org/wikipedia/commons/0/05/CarlXIVJohnSweden.jpg	Marshal Jean Bernadotte led the center column.	Battle of Schleiz	Military
114	en	https://upload.wikimedia.org/wikipedia/commons/4/4d/Melisa_Franzen_%28cropped%29.jpg	Melisa Franzen	List of Amy Klobuchar 2020 presidential campaign endorsements	State officials
115	en	https://upload.wikimedia.org/wikipedia/commons/0/0e/Shire_Haji_Farah_and_Yusuf_Mohamed_Dhedo_at_Qandala.jpg	Farah and Bari region governor Yusuf Mohamed Dhedo at Qandala after the town's recapture from ISS on 7 December 2016.	Shire Haji Farah	Military command
116	en	https://upload.wikimedia.org/wikipedia/commons/8/83/Pomona_Water_Powerplant.JPG	The marker on the site of the plant	Pomona Water Powerplant	Marker
117	en	https://upload.wikimedia.org/wikipedia/commons/9/9e/SirEdwinChadwick.jpg	Sir Edwin Chadwick	History of waste management	Modern era
118	en	https://upload.wikimedia.org/wikipedia/commons/5/5b/UNOfficeofHumanitarianCoordinator-Baghdad_%28UN_DF-SD-04-02188%29.jpg	The UN headquarters building in Baghdad after the Canal Hotel bombing, on 22 August 2003	Human rights in post-invasion Iraq	Human rights abuses by insurgents
119	en	https://upload.wikimedia.org/wikipedia/commons/1/18/Diptych_Rufus_Gennadius_Probus_Orestes_VandA_139-1866.jpg	Consular diptych of Rufius Gennadius Probus Orestes, Victoria and Albert museum. Portraits of Amalasuintha and her son Athalaric are above the inscription, flanking the cross.	Amalasuintha	Rule
120	en	http://upload.wikimedia.org/wikipedia/commons/5/5f/Elizabeth_II_greets_NASA_GSFC_employees%2C_May_8%2C_2007_edit.jpg	Elizabeth II has been monarch of independent countries in Europe, Asia, Africa, Oceania and the Americas.	Monarch	Monarchs in Europe
121	en	https://upload.wikimedia.org/wikipedia/commons/9/99/Lolliguncula_brevis1.jpg	Lolliguncula brevis	Lolliguncula brevis	Description
122	en	https://upload.wikimedia.org/wikipedia/commons/6/6a/Adele_Live_2017_-_The_FINALE_-_WEMBLEY_Stadium_-_LONDON_-_Make_You_Feel_My_Love_%28night_2%2C_June_29th%29.jpg	Adele at Wembley Stadium in June 2017. Adele's concert on 28 June was attended by 98,000 fans, a stadium record for a UK music event.[6]	Wembley Stadium	Music
123	en	https://upload.wikimedia.org/wikipedia/commons/7/70/Fuerteventura_D81_6947_%2840667534382%29.jpg	Road 605 through southern Fuerteventura.	Fuerteventura	Geology
124	en	https://upload.wikimedia.org/wikipedia/commons/e/e3/Dunoon_Cottages%2C_Luxted_Road_%28geograph_2671283%29.jpg	Historic cottages near the site. The entrance road can be seen on the left signposted.	Scout Adventures (The Scout Association)	Downe
125	en	https://upload.wikimedia.org/wikipedia/commons/a/a3/Phase_resetting.png	The phase of ongoing oscillatory activity is reset.	Phase resetting in neurons	Phase response curve
126	en	http://upload.wikimedia.org/wikipedia/commons/5/5b/Funny_Car.jpg	Funny Car with body up.	Drag racing	Distances
127	en	https://upload.wikimedia.org/wikipedia/commons/a/a0/Stmungorc.JPG	Church of St Mungo, Townhead	Townhead	History
128	en	https://upload.wikimedia.org/wikipedia/commons/4/48/Dome_of_the_Rock_viewed_through_Bab_al-Qattanin.jpg	The Dome of the Rock, seen through the Cotton Merchants' Gate (Bab al-Qattanin)	List of places in Jerusalem	Islamic
129	en	https://upload.wikimedia.org/wikipedia/commons/1/1b/Jordanes%2C_Norway_tribes.png	Locations of the tribes described by Jordanes in Norway, contemporary with, and some possibly ruled by Rodulf.	Iron Age Europe	Transition to stationary agriculture due to the iron plough
130	en	https://upload.wikimedia.org/wikipedia/commons/4/49/Renault-4CV-2.jpg	Renault 4CV	Economy car	1945–1960
131	en	https://upload.wikimedia.org/wikipedia/commons/1/10/Mosque_lamp_Met_91.1.1534.jpg	Mamluk mosque lamp	Islamic art	Glass
132	en	https://upload.wikimedia.org/wikipedia/commons/c/c2/Battle_of_Fort_Pillow.png	Fort Pillow Massacre	Nathan Bedford Forrest	Fort Pillow massacre
133	en	https://upload.wikimedia.org/wikipedia/commons/4/40/Mulberry_Harbour_Art.IWMARTLD5445.jpg	Mulberry Harbour (Art.IWM ARTLD 5445)	Stephen Bone	Early life
134	en	https://upload.wikimedia.org/wikipedia/commons/1/11/Henrietta_Crosman_in_%22The_Sword_and_the_King%22.png	Henrietta Crosman in The Sword and the King (1902)	Henrietta Crosman	Theatrical career
135	en	https://upload.wikimedia.org/wikipedia/commons/3/34/Black_Mesa%2C_Oklahoma_high_point.jpg	Black Mesa, the highest point in Oklahoma, is in the northwestern corner of Cimarron County.	Cimarron County, Oklahoma	Geography
136	en	https://upload.wikimedia.org/wikipedia/commons/f/f8/Bundesarchiv_Bild_101I-639-4261-33A%2C_Im_Osten%2C_Panzersp%C3%A4hwagen.jpg	Sd.Kfz. 231	List of Sd.Kfz. designations	Sd.Kfz. 200 to 299
137	en	https://upload.wikimedia.org/wikipedia/commons/6/6b/Road_connecting_New_Zero_Mile_with_NH-57.JPG	Road connecting New Zero Mile with NH-57	Muzaffarpur	Roads
